Time	Fx	Fy	Fz	Mx	My	Mz
4.053000	-0.31555140	-0.00015786	-0.66052049	0.24096578	0.18627648	0.28883445
4.054000	-0.47998178	0.65756345	-0.33166027	-0.35098350	0.38359290	0.21484083
4.055000	-0.64441210	0.16427250	1.31264329	-0.05500886	0.38359290	0.21484083
4.056000	0.50660014	0.32870275	-0.00279956	-0.20299618	0.18627648	0.36282814
4.057000	-1.13770306	0.32870275	-0.66052049	-0.05500886	0.28493470	-0.00714012
4.058000	-0.31555140	-0.00015786	0.65492189	0.24096578	0.48225111	0.21484083
4.059000	-0.15112105	0.49313310	-0.33166027	0.24096578	0.38359290	0.28883445
4.060000	-0.80884236	0.65756345	-0.33166027	-0.35098350	0.38359290	0.21484083
4.061000	-0.47998178	0.49313310	-0.00279956	-0.79494536	0.48225111	0.21484083
4.062000	0.34216976	0.32870275	-0.00279956	-0.64695805	0.28493470	0.43682179
4.063000	-0.31555140	1.31528473	0.65492189	-0.20299618	0.58090931	0.14084718
4.064000	-0.15112105	0.49313310	-0.66052049	-0.79494536	0.58090931	0.28883445
4.065000	0.01330918	0.65756345	0.32606116	-0.79494536	0.28493470	0.43682179
4.066000	-0.80884236	0.49313310	-0.33166027	-0.35098350	0.18627648	0.28883445
4.067000	-0.64441210	0.82199377	-0.98938143	-0.35098350	0.77822560	0.14084718
4.068000	-0.15112105	0.49313310	0.32606116	0.09297836	0.38359290	0.51081538
4.069000	-0.31555140	0.32870275	-0.00279956	0.09297836	0.48225111	0.28883445
4.070000	-0.31555140	0.49313310	-0.33166027	-0.49897081	0.38359290	0.28883445
4.071000	-0.47998178	0.49313310	-0.33166027	0.38895288	0.38359290	0.21484083
4.072000	0.34216976	0.65756345	-0.98938143	0.24096578	0.28493470	0.28883445
4.073000	-0.31555140	0.32870275	0.65492189	-0.49897081	0.58090931	0.36282814
4.074000	0.01330918	0.49313310	0.98378259	-0.20299618	0.18627648	0.36282814
4.075000	-0.31555140	0.82199377	-0.00279956	-0.35098350	0.18627648	0.21484083
4.076000	-0.15112105	1.15085435	0.32606116	-0.20299618	0.28493470	0.21484083
4.077000	0.50660014	0.49313310	1.31264329	-0.35098350	0.18627648	0.28883445
4.078000	0.01330918	0.98642403	0.32606116	-0.20299618	0.28493470	0.21484083
4.079000	-0.15112105	0.98642403	-0.00279956	-0.05500886	0.38359290	0.36282814
4.080000	0.34216976	0.65756345	0.98378259	-0.35098350	0.38359290	0.43682179
4.081000	-0.64441210	0.65756345	-0.00279956	0.38895288	0.28493470	0.21484083
4.082000	-0.31555140	0.65756345	0.32606116	-0.35098350	0.18627648	0.36282814
4.083000	-0.47998178	0.32870275	0.32606116	-0.05500886	-0.01103994	0.28883445
4.084000	-0.47998178	0.65756345	0.32606116	0.09297836	0.28493470	0.28883445
4.085000	-0.15112105	0.32870275	0.65492189	-0.35098350	0.18627648	0.28883445
4.086000	0.50660014	0.65756345	0.32606116	0.09297836	0.18627648	0.28883445
4.087000	0.01330918	0.65756345	0.32606116	-0.20299618	0.28493470	0.14084718
4.088000	0.01330918	0.16427250	-0.33166027	-0.35098350	-0.01103994	0.14084718
4.089000	0.01330918	0.65756345	-0.98938143	-0.64695805	0.28493470	0.14084718
4.090000	0.01330918	0.65756345	1.64150405	0.24096578	-0.20835623	0.28883445
4.091000	0.01330918	0.82199377	0.65492189	-0.05500886	0.28493470	0.28883445
4.092000	0.17773965	0.49313310	-0.00279956	-0.35098350	0.58090931	0.43682179
4.093000	0.17773965	0.32870275	-0.33166027	0.53694022	0.08761827	0.36282814
4.094000	-0.47998178	0.82199377	0.32606116	-0.94293267	0.67956740	0.36282814
4.095000	0.34216976	0.82199377	1.31264329	-0.49897081	0.28493470	0.28883445
4.096000	-0.15112105	0.49313310	0.32606116	-0.35098350	-0.01103994	0.14084718
4.097000	0.01330918	1.15085435	-0.33166027	-0.35098350	0.18627648	0.21484083
4.098000	0.83546084	0.82199377	1.31264329	-0.49897081	0.08761827	0.36282814
4.099000	0.01330918	1.31528473	0.98378259	-0.49897081	0.18627648	0.14084718
4.100000	0.34216976	0.32870275	0.32606116	-0.20299618	0.08761827	0.21484083
4.101000	0.01330918	1.15085435	0.98378259	-0.49897081	0.28493470	0.06685354
4.102000	0.34216976	0.82199377	0.32606116	0.09297836	0.18627648	0.14084718
4.103000	-0.15112105	-0.00015786	0.98378259	-0.35098350	0.08761827	0.21484083
4.104000	-0.15112105	0.65756345	0.65492189	-0.49897081	0.08761827	-0.00714012
4.105000	0.01330918	0.49313310	1.64150405	-0.35098350	0.18627648	0.06685354
4.106000	-0.15112105	0.49313310	1.31264329	-0.49897081	-0.01103994	0.14084718
4.107000	-0.47998178	0.49313310	1.64150405	-0.64695805	-0.10969816	0.36282814
4.108000	-0.31555140	0.65756345	2.29922485	-0.64695805	0.08761827	-0.00714012
4.109000	-0.15112105	0.49313310	0.65492189	-0.79494536	-0.10969816	0.14084718
4.110000	0.34216976	1.15085435	-0.98938143	-0.35098350	0.18627648	-0.00714012
4.111000	0.17773965	0.65756345	0.98378259	-0.35098350	-0.20835623	0.14084718
4.112000	-0.31555140	1.31528473	-0.33166027	-0.20299618	-0.30701452	-0.00714012
4.113000	0.01330918	0.82199377	1.31264329	-0.05500886	-0.10969816	0.21484083
4.114000	-0.31555140	1.31528473	1.97036469	-0.20299618	-0.01103994	0.06685354
4.115000	-0.15112105	0.82199377	0.65492189	-0.79494536	-0.01103994	0.14084718
4.116000	0.34216976	0.82199377	0.65492189	-0.94293267	-0.30701452	0.36282814
4.117000	0.50660014	0.82199377	0.98378259	0.09297836	-0.40567267	0.06685354
4.118000	0.17773965	0.32870275	0.65492189	-0.35098350	-0.20835623	0.06685354
4.119000	-0.31555140	0.32870275	2.62808561	-0.49897081	-0.20835623	-0.00714012
4.120000	0.50660014	0.82199377	1.31264329	-0.49897081	-0.10969816	-0.00714012
4.121000	-0.15112105	0.98642403	0.32606116	-0.49897081	-0.01103994	0.14084718
4.122000	0.34216976	0.65756345	-0.00279956	-1.09091997	-0.20835623	0.06685354
4.123000	0.34216976	0.98642403	0.32606116	-0.35098350	-0.30701452	-0.00714012
4.124000	0.50660014	0.32870275	-0.33166027	-0.05500886	-0.30701452	0.06685354
4.125000	-0.31555140	0.65756345	0.32606116	-0.35098350	0.18627648	-0.15512739
4.126000	0.01330918	0.82199377	0.98378259	-0.35098350	-0.40567267	0.21484083
4.127000	0.01330918	0.32870275	1.31264329	0.09297836	-0.30701452	-0.00714012
4.128000	-0.15112105	1.47971511	0.98378259	-0.49897081	-0.10969816	-0.08113378
4.129000	-0.64441210	0.49313310	1.64150405	-0.49897081	-0.30701452	-0.08113378
4.130000	0.17773965	0.82199377	1.64150405	-0.64695805	-0.30701452	0.06685354
4.131000	0.34216976	0.49313310	1.64150405	-0.79494536	-0.50433087	0.06685354
4.132000	-0.31555140	1.47971511	0.32606116	-0.64695805	-0.40567267	0.06685354
4.133000	0.67103046	0.65756345	0.32606116	-0.49897081	-0.40567267	-0.00714012
4.134000	0.17773965	0.65756345	0.32606116	-0.49897081	-0.20835623	-0.15512739
4.135000	0.17773965	0.98642403	0.98378259	-0.64695805	-0.40567267	-0.08113378
4.136000	-0.15112105	0.16427250	0.98378259	-0.35098350	-0.20835623	-0.08113378
4.137000	0.83546084	0.65756345	1.31264329	-0.49897081	-0.30701452	-0.08113378
4.138000	0.34216976	0.49313310	-0.33166027	-0.64695805	-0.30701452	0.06685354
4.139000	0.01330918	0.16427250	0.32606116	-0.79494536	-0.20835623	-0.08113378
4.140000	0.50660014	0.49313310	0.32606116	-0.35098350	-0.50433087	-0.08113378
4.141000	0.01330918	0.49313310	0.65492189	-0.20299618	-0.80030543	-0.15512739
4.142000	-0.15112105	0.82199377	0.98378259	-0.35098350	-0.50433087	-0.15512739
4.143000	-0.31555140	0.16427250	1.64150405	-0.49897081	-0.20835623	-0.15512739
4.144000	0.17773965	0.49313310	1.97036469	-0.94293267	-0.70164728	-0.00714012
4.145000	-0.47998178	0.49313310	0.65492189	0.24096578	-0.40567267	-0.15512739
4.146000	-0.31555140	0.49313310	1.31264329	-0.79494536	-0.40567267	-0.15512739
4.147000	-0.31555140	0.32870275	0.32606116	-0.20299618	-0.30701452	-0.08113378
4.148000	-0.47998178	-0.00015786	0.65492189	-0.64695805	-0.50433087	-0.00714012
4.149000	-0.64441210	0.98642403	0.32606116	-0.20299618	-0.20835623	-0.08113378
4.150000	-0.47998178	0.16427250	0.98378259	-0.05500886	-0.50433087	-0.08113378
4.151000	-0.15112105	0.49313310	0.32606116	-0.64695805	-0.10969816	-0.15512739
4.152000	0.17773965	0.49313310	0.65492189	-0.20299618	-0.50433087	-0.00714012
4.153000	-0.31555140	0.16427250	1.97036469	-0.35098350	-0.30701452	-0.00714012
4.154000	0.01330918	0.65756345	0.32606116	-0.49897081	-0.70164728	-0.37710831
4.155000	-0.15112105	0.16427250	0.98378259	-0.20299618	-0.20835623	-0.30311471
4.156000	-0.31555140	0.65756345	1.64150405	-0.64695805	-0.20835623	-0.15512739
4.157000	-0.15112105	0.82199377	1.31264329	-0.49897081	-0.40567267	-0.22912106
4.158000	0.17773965	0.16427250	0.65492189	-0.64695805	-0.80030543	-0.08113378
4.159000	-0.15112105	0.16427250	0.65492189	0.09297836	-0.40567267	-0.15512739
4.160000	-0.31555140	0.65756345	1.64150405	-0.35098350	-0.30701452	-0.22912106
4.161000	-0.47998178	0.65756345	0.32606116	-0.35098350	-0.40567267	-0.30311471
4.162000	-0.80884236	0.32870275	0.32606116	-0.05500886	-0.30701452	-0.15512739
4.163000	-0.15112105	0.49313310	0.32606116	-0.20299618	0.08761827	-0.15512739
